"Worker ID","Link to Individual Worker Page","Number of HITs approved or rejected - Lifetime","Number of HITs approved - Lifetime","Your Lifetime approval rate","Number of HITs approved or rejected - Last 30 days","Number of HITs approved - Last 30 days","Your Last 30 days approval rate","Number of HITs approved or rejected - Last 7 days","Number of HITs approved - Last 7 days","Your Last 7 days approval rate","CURRENT-ai_responders_033118","UPDATE-ai_responders_033118","CURRENT BlockStatus","UPDATE BlockStatus","BlockReason"
"A2CSD7F60ZQLR","https://requester.mturk.com/workers/A2CSD7F60ZQLR","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2CTI1LFBX8GG3","https://requester.mturk.com/workers/A2CTI1LFBX8GG3","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2DC7EBSBUVUQ","https://requester.mturk.com/workers/A2DC7EBSBUVUQ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2E9X9OFUIQ3B6","https://requester.mturk.com/workers/A2E9X9OFUIQ3B6","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2ELDYT1S772YH","https://requester.mturk.com/workers/A2ELDYT1S772YH","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A2EW08X2I87RXL","https://requester.mturk.com/workers/A2EW08X2I87RXL","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A2G2V7KXNMUUT2","https://requester.mturk.com/workers/A2G2V7KXNMUUT2","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2G9163W7Y67UD","https://requester.mturk.com/workers/A2G9163W7Y67UD","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2GUJCGPE4RCL0","https://requester.mturk.com/workers/A2GUJCGPE4RCL0","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2H8GNSEVUJXYL","https://requester.mturk.com/workers/A2H8GNSEVUJXYL","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A2H8HVANGF4A58","https://requester.mturk.com/workers/A2H8HVANGF4A58","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2H9Q5DA9AFOJO","https://requester.mturk.com/workers/A2H9Q5DA9AFOJO","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2HLRNKXJFO71G","https://requester.mturk.com/workers/A2HLRNKXJFO71G","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A2HQOSNTDE5UKV","https://requester.mturk.com/workers/A2HQOSNTDE5UKV","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A2HR7ZIX42FEPG","https://requester.mturk.com/workers/A2HR7ZIX42FEPG","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2IFBLO7S1UYTZ","https://requester.mturk.com/workers/A2IFBLO7S1UYTZ","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A2IUT0610X9CV0","https://requester.mturk.com/workers/A2IUT0610X9CV0","2","2","100.00%","2","2","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A2JHF7CU91EVXW","https://requester.mturk.com/workers/A2JHF7CU91EVXW","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2JRONMDBUJT3K","https://requester.mturk.com/workers/A2JRONMDBUJT3K","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A2JYT3A8Z3Q2M6","https://requester.mturk.com/workers/A2JYT3A8Z3Q2M6","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2K2MSP0EFWFTA","https://requester.mturk.com/workers/A2K2MSP0EFWFTA","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A2K5CRACD4PL5U","https://requester.mturk.com/workers/A2K5CRACD4PL5U","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A2LTGFMW5PUE01","https://requester.mturk.com/workers/A2LTGFMW5PUE01","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2MCRVU8I9VNHG","https://requester.mturk.com/workers/A2MCRVU8I9VNHG","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A2MJAXJEJ4SEQM","https://requester.mturk.com/workers/A2MJAXJEJ4SEQM","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A2N9WC0ERVHXDY","https://requester.mturk.com/workers/A2N9WC0ERVHXDY","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A2NGG3KW6YTS1G","https://requester.mturk.com/workers/A2NGG3KW6YTS1G","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2NKE99I9M8EP3","https://requester.mturk.com/workers/A2NKE99I9M8EP3","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2NVOKL45Z9C2C","https://requester.mturk.com/workers/A2NVOKL45Z9C2C","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2OIGST8UL7HJP","https://requester.mturk.com/workers/A2OIGST8UL7HJP","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A2OIPOP4MI8TZB","https://requester.mturk.com/workers/A2OIPOP4MI8TZB","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2OTQJZW0I3M2Q","https://requester.mturk.com/workers/A2OTQJZW0I3M2Q","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2PWE9TKEM99BA","https://requester.mturk.com/workers/A2PWE9TKEM99BA","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2PWEY49I45RYY","https://requester.mturk.com/workers/A2PWEY49I45RYY","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2QLFIUY3LC9D7","https://requester.mturk.com/workers/A2QLFIUY3LC9D7","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2QMHQXR8K4VJ2","https://requester.mturk.com/workers/A2QMHQXR8K4VJ2","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A2RMMYN6NSXE4V","https://requester.mturk.com/workers/A2RMMYN6NSXE4V","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2RUHO7I7Y4XFA","https://requester.mturk.com/workers/A2RUHO7I7Y4XFA","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A2S0MB5JFG8DF","https://requester.mturk.com/workers/A2S0MB5JFG8DF","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2SAWJZQM8GTF6","https://requester.mturk.com/workers/A2SAWJZQM8GTF6","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2SY2N44N1RWVA","https://requester.mturk.com/workers/A2SY2N44N1RWVA","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2SYRFPPV9WDEG","https://requester.mturk.com/workers/A2SYRFPPV9WDEG","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2T2HFUJP04DWD","https://requester.mturk.com/workers/A2T2HFUJP04DWD","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2T5YVU37RBCCP","https://requester.mturk.com/workers/A2T5YVU37RBCCP","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2TF7BYPCYUTTP","https://requester.mturk.com/workers/A2TF7BYPCYUTTP","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2TGOIW7U237NO","https://requester.mturk.com/workers/A2TGOIW7U237NO","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2TJS37ORFQTUT","https://requester.mturk.com/workers/A2TJS37ORFQTUT","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2TKANKOPUJXWX","https://requester.mturk.com/workers/A2TKANKOPUJXWX","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A2TLQXGIO2LJ91","https://requester.mturk.com/workers/A2TLQXGIO2LJ91","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A2TN5NSHC2BZ12","https://requester.mturk.com/workers/A2TN5NSHC2BZ12","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2TV4MWIOBMNMS","https://requester.mturk.com/workers/A2TV4MWIOBMNMS","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2UF2FRGVW4T89","https://requester.mturk.com/workers/A2UF2FRGVW4T89","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2UTDTZ00HSW4F","https://requester.mturk.com/workers/A2UTDTZ00HSW4F","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2UZXRV8QU8TGS","https://requester.mturk.com/workers/A2UZXRV8QU8TGS","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2V272VAW0GIPL","https://requester.mturk.com/workers/A2V272VAW0GIPL","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2VNR6984SDFGQ","https://requester.mturk.com/workers/A2VNR6984SDFGQ","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A2VQ1WGHLLLNJ1","https://requester.mturk.com/workers/A2VQ1WGHLLLNJ1","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A2W914YUI5ZHVH","https://requester.mturk.com/workers/A2W914YUI5ZHVH","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A2WAQLPXT615HQ","https://requester.mturk.com/workers/A2WAQLPXT615HQ","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A2WWYVKGZZXBOB","https://requester.mturk.com/workers/A2WWYVKGZZXBOB","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A2X06TZY0GCFRF","https://requester.mturk.com/workers/A2X06TZY0GCFRF","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A2X229C3V93C1K","https://requester.mturk.com/workers/A2X229C3V93C1K","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2X823PACMMOKP","https://requester.mturk.com/workers/A2X823PACMMOKP","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2XH7ZKO6GLD7Z","https://requester.mturk.com/workers/A2XH7ZKO6GLD7Z","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2XPQ8KYFKI6FD","https://requester.mturk.com/workers/A2XPQ8KYFKI6FD","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2YO0CG93Y1N69","https://requester.mturk.com/workers/A2YO0CG93Y1N69","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2Z2OV7QGU10QN","https://requester.mturk.com/workers/A2Z2OV7QGU10QN","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2Z7SWO6HS5OOI","https://requester.mturk.com/workers/A2Z7SWO6HS5OOI","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A2Z874ZGWJP6JQ","https://requester.mturk.com/workers/A2Z874ZGWJP6JQ","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A2ZBYVQLDUZOV7","https://requester.mturk.com/workers/A2ZBYVQLDUZOV7","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A2ZKUU1KLDSGL0","https://requester.mturk.com/workers/A2ZKUU1KLDSGL0","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A2ZL5GAZK6S0H1","https://requester.mturk.com/workers/A2ZL5GAZK6S0H1","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A30CGO77OY7WP0","https://requester.mturk.com/workers/A30CGO77OY7WP0","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A30DB51RPGJT4V","https://requester.mturk.com/workers/A30DB51RPGJT4V","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A30G98ZDOZMUVK","https://requester.mturk.com/workers/A30G98ZDOZMUVK","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A30GCTXJ17JC3I","https://requester.mturk.com/workers/A30GCTXJ17JC3I","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A30MP4LXV4MIFD","https://requester.mturk.com/workers/A30MP4LXV4MIFD","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A30NX5HEQGGFPP","https://requester.mturk.com/workers/A30NX5HEQGGFPP","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A313GWPU1F11HU","https://requester.mturk.com/workers/A313GWPU1F11HU","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A31VW44MXV7PP5","https://requester.mturk.com/workers/A31VW44MXV7PP5","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A322XYNEK21I27","https://requester.mturk.com/workers/A322XYNEK21I27","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A32CMQGGTSUK6Z","https://requester.mturk.com/workers/A32CMQGGTSUK6Z","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A32JNOSQH86VNS","https://requester.mturk.com/workers/A32JNOSQH86VNS","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A32PU6NORGUEEN","https://requester.mturk.com/workers/A32PU6NORGUEEN","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A32S7DRKL0MW0A","https://requester.mturk.com/workers/A32S7DRKL0MW0A","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A330HFBRTY55U8","https://requester.mturk.com/workers/A330HFBRTY55U8","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A330JJZGJL7IG2","https://requester.mturk.com/workers/A330JJZGJL7IG2","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A33VGSEJ44ORMF","https://requester.mturk.com/workers/A33VGSEJ44ORMF","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A345EPTA0P1Z5J","https://requester.mturk.com/workers/A345EPTA0P1Z5J","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A34ONJ2RD5CF2C","https://requester.mturk.com/workers/A34ONJ2RD5CF2C","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A34ZULY6WMWR0D","https://requester.mturk.com/workers/A34ZULY6WMWR0D","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3531V81TBNQBL","https://requester.mturk.com/workers/A3531V81TBNQBL","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A35ARURSRU6UAZ","https://requester.mturk.com/workers/A35ARURSRU6UAZ","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A35BY30TC8WCL4","https://requester.mturk.com/workers/A35BY30TC8WCL4","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A35P57XYNK927Y","https://requester.mturk.com/workers/A35P57XYNK927Y","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A35QEQPK7USJX2","https://requester.mturk.com/workers/A35QEQPK7USJX2","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A35SC4D5YNJGOW","https://requester.mturk.com/workers/A35SC4D5YNJGOW","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A35UAZ5IKU14XW","https://requester.mturk.com/workers/A35UAZ5IKU14XW","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A36LW7PXV35Y2Z","https://requester.mturk.com/workers/A36LW7PXV35Y2Z","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A36ZLJPURT0ILP","https://requester.mturk.com/workers/A36ZLJPURT0ILP","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3774HPOUKYTX7","https://requester.mturk.com/workers/A3774HPOUKYTX7","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A37CO0N1KC1CDW","https://requester.mturk.com/workers/A37CO0N1KC1CDW","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A37VBAMFEQKJO4","https://requester.mturk.com/workers/A37VBAMFEQKJO4","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A38ECJNH8AQKV4","https://requester.mturk.com/workers/A38ECJNH8AQKV4","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A38Z7Q3V5E2Q70","https://requester.mturk.com/workers/A38Z7Q3V5E2Q70","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A39A8K2UX0U05W","https://requester.mturk.com/workers/A39A8K2UX0U05W","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A39HV9BXOEDT79","https://requester.mturk.com/workers/A39HV9BXOEDT79","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A39XF45WLMIGX2","https://requester.mturk.com/workers/A39XF45WLMIGX2","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3A00UKGHIRCPO","https://requester.mturk.com/workers/A3A00UKGHIRCPO","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3ACR8IG31Q7K6","https://requester.mturk.com/workers/A3ACR8IG31Q7K6","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A3AT9S1CF9QV4K","https://requester.mturk.com/workers/A3AT9S1CF9QV4K","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3AXA3S5UM8E8W","https://requester.mturk.com/workers/A3AXA3S5UM8E8W","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3B5UFOTPU1TQJ","https://requester.mturk.com/workers/A3B5UFOTPU1TQJ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3BGW64TEYYQMC","https://requester.mturk.com/workers/A3BGW64TEYYQMC","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3CV1VK8QP1SUN","https://requester.mturk.com/workers/A3CV1VK8QP1SUN","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3CVX7GHF3B65Q","https://requester.mturk.com/workers/A3CVX7GHF3B65Q","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3D00DSZUSDSQS","https://requester.mturk.com/workers/A3D00DSZUSDSQS","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3DRYZ95VDUDK","https://requester.mturk.com/workers/A3DRYZ95VDUDK","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3DUPRZSMU9W5R","https://requester.mturk.com/workers/A3DUPRZSMU9W5R","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3E5QW0ZCJHIFW","https://requester.mturk.com/workers/A3E5QW0ZCJHIFW","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3ESC1H6BBKF30","https://requester.mturk.com/workers/A3ESC1H6BBKF30","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3F51C49T9A34D","https://requester.mturk.com/workers/A3F51C49T9A34D","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3F79JQWFB73SU","https://requester.mturk.com/workers/A3F79JQWFB73SU","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3GEACGJY23HCK","https://requester.mturk.com/workers/A3GEACGJY23HCK","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3GPYCHKB2KDLC","https://requester.mturk.com/workers/A3GPYCHKB2KDLC","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3H0FIQ3IDER4U","https://requester.mturk.com/workers/A3H0FIQ3IDER4U","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3HAPMZV7CYDY8","https://requester.mturk.com/workers/A3HAPMZV7CYDY8","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3HVFSD8K94SOR","https://requester.mturk.com/workers/A3HVFSD8K94SOR","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3I1W58P6SIV26","https://requester.mturk.com/workers/A3I1W58P6SIV26","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A3IGFK1YNA4H9O","https://requester.mturk.com/workers/A3IGFK1YNA4H9O","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3IGWYBMJ5NBBJ","https://requester.mturk.com/workers/A3IGWYBMJ5NBBJ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3IMSZ0F76M3UP","https://requester.mturk.com/workers/A3IMSZ0F76M3UP","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3JHXEH79DJ83L","https://requester.mturk.com/workers/A3JHXEH79DJ83L","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3JLCVQ5ARYLHC","https://requester.mturk.com/workers/A3JLCVQ5ARYLHC","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3KEPJZ9UW2D30","https://requester.mturk.com/workers/A3KEPJZ9UW2D30","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3KMNX2P2QP9JU","https://requester.mturk.com/workers/A3KMNX2P2QP9JU","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3L1DZWXQFWB90","https://requester.mturk.com/workers/A3L1DZWXQFWB90","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3L21C9NFQLA6W","https://requester.mturk.com/workers/A3L21C9NFQLA6W","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3LSG8J12TDMNF","https://requester.mturk.com/workers/A3LSG8J12TDMNF","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3MU49UX4XYSHB","https://requester.mturk.com/workers/A3MU49UX4XYSHB","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3N5GS22ZSVFS1","https://requester.mturk.com/workers/A3N5GS22ZSVFS1","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3NORT54YW98K0","https://requester.mturk.com/workers/A3NORT54YW98K0","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3O5JKO0ADLXDB","https://requester.mturk.com/workers/A3O5JKO0ADLXDB","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3OM2ZQ7FUDTIN","https://requester.mturk.com/workers/A3OM2ZQ7FUDTIN","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3OURWJ5EDZZ1W","https://requester.mturk.com/workers/A3OURWJ5EDZZ1W","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A3P0P0DRSOX52W","https://requester.mturk.com/workers/A3P0P0DRSOX52W","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3PTO0DMF57GDG","https://requester.mturk.com/workers/A3PTO0DMF57GDG","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A3PUU1XU4C1A3V","https://requester.mturk.com/workers/A3PUU1XU4C1A3V","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3QC57KUVJP5EW","https://requester.mturk.com/workers/A3QC57KUVJP5EW","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
"A3QEVWUSBTD47D","https://requester.mturk.com/workers/A3QEVWUSBTD47D","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3QQRMRZHPXRAH","https://requester.mturk.com/workers/A3QQRMRZHPXRAH","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3R5WGP2WLSYMH","https://requester.mturk.com/workers/A3R5WGP2WLSYMH","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3RGBQGMOAX6J7","https://requester.mturk.com/workers/A3RGBQGMOAX6J7","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3S847VMT4OE34","https://requester.mturk.com/workers/A3S847VMT4OE34","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3SDRNVZJ5CDM7","https://requester.mturk.com/workers/A3SDRNVZJ5CDM7","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3SHOJPXWNTFXZ","https://requester.mturk.com/workers/A3SHOJPXWNTFXZ","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3SLXZURCF9O67","https://requester.mturk.com/workers/A3SLXZURCF9O67","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3SOJWB6AZWZV9","https://requester.mturk.com/workers/A3SOJWB6AZWZV9","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3TBA7X9EF16W6","https://requester.mturk.com/workers/A3TBA7X9EF16W6","1","1","100.00%","1","1","100.00%","1","1","100.00%","1","","Never Blocked","",""
"A3TMVAECAVF9X5","https://requester.mturk.com/workers/A3TMVAECAVF9X5","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3UF7MG54V3YS2","https://requester.mturk.com/workers/A3UF7MG54V3YS2","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3UN1F1EOHKKE6","https://requester.mturk.com/workers/A3UN1F1EOHKKE6","1","0","0.00%","1","0","0.00%","1","0","0.00%","","","Never Blocked","",""
"A3UNW797BS2R92","https://requester.mturk.com/workers/A3UNW797BS2R92","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3UTUWEU44RAY3","https://requester.mturk.com/workers/A3UTUWEU44RAY3","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3VIDSSJ4J4M80","https://requester.mturk.com/workers/A3VIDSSJ4J4M80","1","1","100.00%","1","1","100.00%","1","1","100.00%","","","Never Blocked","",""
"A3VMQJD8LDQSEZ","https://requester.mturk.com/workers/A3VMQJD8LDQSEZ","1","1","100.00%","1","1","100.00%","0","0","0.00%","1","","Never Blocked","",""
